type,passport_id,region,revenue
premium,133570315,Москва,2210
premium,125526618,Москва,1105
premium,128205675,Москва,2210
premium,123640858,Москва,1100
premium,135304607,Москва,1105
premium,124631104,Москва,1105
premium,133396069,Москва,1105
premium,124963798,Москва,985
premium,137748929,Москва,1105
premium,141168899,Москва,1570
premium,123673996,Москва,1105
premium,142585954,Москва,1100
premium,138285471,Москва,1105
premium,123891878,Москва,1105
premium,143636850,Москва,2210
premium,132692118,Москва,1100
premium,143917400,Москва,2610
premium,137836441,Москва,1105
premium,137210615,Москва,1105
premium,143749954,Москва,1105
premium,144405804,Москва,1105
premium,138248379,Москва,1105
premium,140996615,Москва,1970
premium,123537218,Москва,1105
premium,135884133,Москва,1105
premium,132970825,Москва,1105
premium,144276264,Москва,3315
premium,142182498,Москва,3315
premium,132879469,Москва,1100
premium,131942105,Москва,1105
premium,143653132,Москва,1570
premium,124615436,Москва,1105
premium,134797321,Москва,1105
premium,140373643,Москва,1305
premium,136181449,Москва,1105
premium,134923155,Москва,1105
premium,142523514,Москва,2210
premium,136637277,Москва,2210
premium,144313586,Москва,1105
premium,144280852,Москва,1970
premium,134736731,Москва,1105
premium,134311337,Москва,1105
premium,124196842,Москва,1970
premium,123475730,Москва,1100
premium,124181544,Москва,2210
premium,144406496,Москва,1105
premium,140747267,Москва,2210
premium,135767739,Москва,2610
premium,143958660,Москва,985
premium,142966900,Москва,7430
premium,141684975,Москва,1105
premium,124031535,Москва,1105
premium,127116857,Москва,1105
premium,144367180,Москва,1105
premium,136466245,Москва,1100
premium,138350728,Москва,2210
premium,144152984,Москва,1105
premium,128533161,Москва,1970
premium,132799516,Москва,1105
premium,125881893,Москва,1105
premium,123522563,Москва,1105
premium,123949713,Москва,1105
premium,144307102,Москва,1105
premium,124772049,Москва,3315
premium,129064571,Москва,1105
premium,124330816,Москва,1305
premium,127947335,Москва,1105
premium,144068666,Москва,1105
premium,139887334,Москва,1305
premium,143270116,Москва,1105
premium,123976972,Москва,2210
premium,136996409,Москва,1105
premium,143936174,Москва,2210
premium,132905005,Москва,2210
premium,124374913,Москва,1105
premium,134191321,Москва,1105
premium,140462113,Москва,985
premium,140720205,Москва,2200
premium,124247172,Москва,1305
premium,140845375,Москва,2610
premium,123959044,Москва,1105
premium,124900492,Москва,1105
premium,134494177,Москва,1105
premium,123749497,Москва,2200
premium,133784229,Москва,1105
premium,138301733,Москва,1970
premium,141879517,Москва,1105
premium,135862883,Москва,1105
premium,135697499,Москва,985
premium,135083781,Москва,1105
premium,124731741,Москва,985
premium,129176831,Москва,2210
premium,126526631,Москва,2210
premium,132903777,Москва,2210
premium,131998735,Москва,1105
premium,136492801,Москва,2210
premium,144163758,Москва,1970
premium,138625432,Москва,1105
premium,140571143,Москва,1105
premium,132611018,Москва,2200
premium,143408696,Москва,1305
premium,142243078,Москва,1105
premium,123684390,Москва,2210
premium,144083004,Москва,985
premium,132160303,Москва,2210
premium,123773413,Москва,2210
premium,123687610,Москва,1305
premium,140654251,Москва,2210
premium,140255459,Москва,1105
premium,140044028,Москва,1105
premium,134082111,Москва,1105
premium,144398732,Москва,1105
premium,124471889,Москва,1105
premium,123882373,Москва,2090
premium,143347922,Москва,1305
premium,138080531,Москва,2210
premium,140583711,Москва,1105
premium,140564267,Москва,2210
premium,132578614,Москва,1105
premium,143608622,Москва,1105
premium,124560455,Москва,1100
premium,140183203,Москва,1105
premium,123855546,Москва,3315
premium,124216835,Москва,2200
premium,135944605,Москва,1100
premium,134190335,Москва,1105
premium,123702931,Москва,1105
premium,132003021,Москва,2210
premium,143683802,Москва,5500
premium,126208317,Москва,985
premium,133602357,Москва,1105
premium,133508435,Москва,1105
premium,138383358,Москва,985
premium,140803741,Москва,1970
premium,123926758,Москва,1100
premium,136537051,Москва,2210
premium,144343104,Москва,2210
premium,123671130,Москва,1970
premium,134479081,Москва,1105
premium,144400616,Москва,1105
premium,144265186,Москва,2200
premium,135591535,Москва,1105
premium,135473975,Москва,8800
premium,133863419,Москва,1305
premium,135813465,Москва,985
premium,124451518,Москва,1970
premium,143265424,Москва,2210
premium,138090289,Москва,1105
premium,137974371,Москва,1105
premium,137680931,Москва,1105
premium,137364577,Москва,1105
premium,141826109,Москва,1105
premium,141358575,Москва,1105
premium,144260578,Москва,1105
premium,141199623,Москва,1105
premium,125364214,Москва,2210
premium,140823805,Москва,1105
premium,133156301,Москва,1105
premium,131582699,Москва,1105
premium,142194778,Москва,1105
premium,123693404,Москва,1105
premium,133284641,Москва,2210
premium,141086053,Москва,1105
premium,142428902,Москва,985
premium,123862294,Москва,1100
premium,144171532,Москва,1105
premium,141370565,Москва,1105
premium,132011281,Москва,1100
premium,132378740,Москва,1105
premium,140519713,Москва,1105
premium,141994318,Москва,2210
premium,123596248,Москва,1105
premium,141635761,Москва,1100
premium,124643468,Москва,2210
premium,140442087,Москва,1105
premium,129425099,Москва,1105
premium,123718351,Москва,1105
premium,133408155,Москва,1105
premium,124750199,Москва,1105
premium,132436208,Москва,3315
premium,133507095,Москва,3315
premium,133139531,Москва,1105
premium,124031339,Москва,1105
premium,124271638,Москва,1105
premium,131461295,Москва,1105
premium,140678669,Москва,2200
premium,135312995,Москва,1105
premium,137602801,Москва,1105
premium,142118124,Москва,2210
premium,126069831,Москва,1105
premium,143130374,Москва,2210
premium,144078236,Москва,1105
premium,136809367,Москва,985
premium,142198046,Москва,1105
premium,125565382,Москва,1105
premium,133337219,Москва,1105
premium,126936347,Москва,1100
premium,134480145,Москва,985
premium,124367422,Москва,1105
premium,136069691,Москва,1105
premium,141175769,Москва,1970
premium,144313644,Москва,1105
premium,143768918,Москва,1105
premium,123738309,Москва,1105
premium,143469330,Москва,1105
premium,129834705,Москва,1105
premium,124209076,Москва,1105
premium,138755378,Москва,785
premium,127281281,Москва,1105
premium,142370976,Москва,1105
premium,124733071,Москва,1105
premium,131571355,Москва,1105
premium,138665576,Москва,1100
premium,144410526,Москва,1105
premium,123800079,Москва,2210
premium,126081213,Москва,1305
premium,124054770,Москва,4420
premium,142644412,Москва,1105
premium,139804484,Москва,1105
premium,141148297,Москва,17600
premium,143225538,Москва,1105
premium,127157391,Москва,2210
premium,132847033,Москва,2200
premium,132465154,Москва,1100
premium,123565200,Москва,2210
premium,137842531,Москва,985
premium,123529348,Москва,1105
premium,126184705,Москва,1105
premium,124596716,Москва,2210
premium,124490652,Москва,1105
premium,141715625,Москва,1105
premium,136273493,Москва,1105
premium,143358462,Москва,1105
premium,140116396,Москва,2210
premium,132878803,Москва,5525
premium,144205076,Москва,2210
premium,142322724,Москва,2210
premium,123598615,Москва,3315
premium,128297153,Москва,2210
premium,132259478,Москва,1100
premium,132748672,Москва,2210
premium,144383556,Москва,1970
premium,128454447,Москва,2210
premium,140131386,Москва,2200
premium,123850031,Москва,1105
premium,132275694,Москва,1105
premium,143319374,Москва,1105
premium,133084799,Москва,1105
premium,142529462,Москва,2210
premium,123600393,Москва,1105
premium,123567053,Москва,2210
premium,142364552,Москва,1105
premium,141498309,Москва,1105
premium,140516093,Москва,1100
premium,123626805,Москва,985
premium,123981448,Москва,1105
premium,138195789,Москва,985
premium,123591705,Москва,1100
premium,133155073,Москва,1105
premium,134549167,Москва,1105
premium,144026696,Москва,1105
premium,140503999,Москва,985
premium,133620685,Москва,1105
premium,144216448,Москва,2200
premium,124156186,Москва,1105
premium,127018829,Москва,1105
premium,143267922,Москва,2210
premium,132874989,Москва,985
premium,143095856,Москва,1105
premium,128740201,Москва,1105
premium,144349504,Москва,1105
premium,134045541,Москва,1105
premium,133493947,Москва,1100
premium,139901702,Москва,1100
premium,123605980,Москва,1105
premium,133049865,Москва,985
premium,123617708,Москва,1105
premium,140204831,Москва,1105
premium,124065248,Москва,1100
premium,140365287,Москва,4180
premium,131516057,Москва,3315
premium,132783316,Москва,1105
premium,140844101,Москва,1105
premium,131930377,Москва,1105
premium,142629074,Москва,1105
premium,123870734,Москва,1105
premium,132911137,Москва,1105
premium,143990982,Москва,1105
premium,123931419,Москва,1105
premium,125413786,Москва,2210
premium,123839405,Москва,3315
premium,143545022,Москва,985
premium,134742907,Москва,1100
premium,127921429,Москва,2210
premium,123817552,Москва,1105
premium,133019187,Москва,1105
premium,129363033,Москва,1105
premium,123512469,Москва,1305
premium,141402613,Москва,22700
premium,124052217,Москва,1105
premium,138283715,Москва,1105
